"Quantity","Type","File","Description","Name","Link","Cost ($USD)","Notes"
"1","part","panel.py",".125"" 6061 Aluminium","Panel","N/A","200.04","Material purchased by company that did laser-cutting. Parts expensive if not laser-cut in batches."
"1","part","new_tech_mount.py",".125"" 6061 Aluminium","New Tech Mount","N/A","137.23","Material purchased by company that did laser-cutting. Parts expensive if not laser-cut in batches."
"1","part","speaker_mount.py",".125"" 6061 Aluminium","Speaker Mount","N/A","143.37","Material purchased by company that did laser-cutting. Parts expensive if not laser-cut in batches. Dimensions wrong on speaker drawings, this part needed adjustment."
"1","part","ashtray_block.py",".125"" 6061 Aluminium","Ashtray Block","N/A","137.12","Material purchased by company that did laser-cutting. Parts expensive if not laser-cut in batches."
"1","part","radio_panel.py",".125"" 6061 Aluminium","Radio Panel","N/A","0","Material purchased by company that did laser-cutting."
"1","service","N/A","Powder-coating of 3 parts","N/A","N/A","314.36",""
"1","part","N/A","UltraGauge EM Plus v1.4","OBDII Reader","https://ultra-gauge.com/ultragauge/index.htm","84.00","Purchased previously for v1."
"1","part","N/A","4-1/2"" Classic GPS Speedometer 200 km/h Metric","Speedometer Gauge","https://speedhut.com/gauge-applications/legacy-classic-street-rod/classic-led-speedometers/classic-led-gps-speedometers/4-1-2-classic-gps-speedometer-200-km-h-metric/?dd-link=0m40xat2in3","325.30","Could not find a non-GPS speedometer that looked decent. Recommendations welcome."
"1","part","N/A","2-1/16"" Classic Fuel Level Gauge","Fuel Gauge","https://speedhut.com/gauge-applications/legacy-classic-street-rod/led-lighting/classic-led-fuel-level/2-1-16-classic-fuel-level-gauge-programmable/?dd-link=0m42eun137y","90.50",""
"2","part","N/A","50 Watt, 3.5"" Speaker","Speaker","https://www.amazon.com/dp/B001RNNX8U","18.99",""
"1","part","N/A","Stainless Steel Mesh Screen #200","Speaker Cover","https://www.amazon.com/dp/B0CT54WNFK","16.99","Way more than I will ever need."
"1","fastener","N/A","#8-32 x 1-1/2 in. Combo Round Head Stainless Steel Machine Screw (4 pack)","Panel Screws","https://www.homedepot.com/p/Everbilt-8-32-x-1-1-2-in-Combo-Round-Head-Stainless-Steel-Machine-Screw-20-Pack-802832/204274518","6.87","Listing is for 20-pack but in store only could find 4-pack."
"1","fastener","N/A","#8 Stainless Steel Flat Washer (50-Pack)","Washers","https://www.homedepot.com/p/Everbilt-8-Stainless-Steel-Flat-Washer-50-Pack-800022/204276447","5.97","Only needed a partial amount."
"1","fastener","N/A","#8-32 Zinc Plated Wing Nut (50-Pack)","Wing Nuts","https://www.homedepot.com/p/Everbilt-8-32-Zinc-Plated-Wing-Nut-50-Pack-807352/204281879","7.97","Only needed a partial amount."
"1","fastener","N/A","#8-32 Stainless Steel Machine Screw Nut (50-Pack)","Machine Screw Nuts","https://www.homedepot.com/p/Everbilt-8-32-Stainless-Steel-Machine-Screw-Nut-50-Pack-802822/204276144","7.97","Only needed a partial amount."
"1","fastener","N/A","#8-32 Stainless-Steel Acorn Nut (10-Pack)","Acorn Nuts","https://www.homedepot.com/p/Hillman-8-32-Stainless-Steel-Acorn-Nut-10-Pack-43785/204794765","7.99","Only needed a partial amount."
"1","part","N/A","Royal Building Products 1-in x 2-in x 8-ft Reversible (Smooth/Wood grain) PVC Trim Board","Dashboard-to-Dashboard Adapters","https://www.lowes.com/pd/Royal-Building-Products-1-in-x-2-in-x-8-Feet-Reversible-Smooth-Wood-grain-PVC-Trim-Board/5016092561","9.98","This was cut into 4 small pieces on-the-fly with plenty remaining."
"1","fastener","N/A","4 in. x 2 in. Industrial Strength Strips in Black (2-Pack)","Velcro Strips","https://www.homedepot.com/p/VELCRO-4-in-x-2-in-Industrial-Strength-Strips-in-Black-2-Pack-90199/202261921","4.13","Only needed a partial amount."
